date,type,content,url
2026/05/31,研究,ウェブサイトを立ち上げました（仮）。,
2026/05/30,メディア,読売新聞の取材にコメントしました。,https://www.osaka-sandai.ac.jp/fc/topics/aede/21191/
2025/10/1,受賞,"<a href=""https://www.nihonseimei-zaidan.or.jp/kankyo/05.html"">日本生命財団、環境問題研究助成に採択されました（2025年10月より2年間）。</a>"
2023/04/1,研究,研究室を立ち上げました。

